start	end	text
0	4000	En større solusion.
7000	12000	Og det er ikke fordi det er i panik.
12000	14000	Det er ikke...
14000	18000	Det er fordi det er den eneste måde
21000	28000	med denne
30000	32000	træning.
32000	34000	Ja.
42000	46000	Selvfølgelig, hvis der er en lille job i min company,
46000	48000	jeg har...
48000	50000	jeg har en lille possibilitet nu,
50000	55000	at gå til at fixe noget i en hus.
55000	58000	Men hvis vi ser på budgetet, hvad vi har for mønne
58000	60000	og hvad jeg kan mønne,
60000	62000	det er bare det.
62000	66000	Og tiden kommer, og jeg bliver åben.
68000	72000	Hvis vi vil have en liv, kan vi ikke lide her, Claudia.
72000	76000	Vi må gå sådan.
76000	77000	Men...
77000	80000	Du ved, træning er ikke en job.
80000	81000	Træning er...
81000	83000	Og du har...
83000	86000	du har ingen kontrol med træning.
86000	88000	Det er faktisk, at du har en kontrol.
88000	90000	Fordi...
90000	93000	Hvis jeg follower denne træning, Claudia,
96000	98000	vi ser denne resultat.
100000	102000	Vi fortsætter, Claudia.
110000	112000	Hvis du er sikker på...
112000	115000	Jeg er 100 % sjovt, Claudia.
115000	117000	Hvis du er sjovt.
117000	119000	Det unke ting er, at...
121000	125000	Hvis du tror, at jeg kan tage træning på min egen...
127000	129000	Og nu, plads, listen.
129000	131000	Jeg vil du forstå Glyn.
133000	136000	Det, du ved i dette liv, du kan være lykkelig,
136000	138000	og unlykkelig.
138000	139000	Men...
139000	142000	Du er ikke en professionellig...
143000	145000	Hvad kan vi sige?
145000	146000	Jeg kan tage træning.
146000	147000	Du er ikke det.
147000	149000	Jeg er ikke to.
149000	152000	Og jeg er ikke en professionellig træninger.
153000	156000	Det betyder ikke, at du kan tage træning.
156000	158000	Det betyder ikke, at jeg kan træning.
158000	160000	Jeg kan træning.
160000	163000	Og mange gange, det går godt for mig.
163000	167000	Måske 8 out of 10 gange, det går godt.
167000	172000	Men nummer 9 og 10 gange virkelig børn.
172000	175000	Fordi jeg har ikke...
177000	180000	alle kunst om det.
180000	183000	Så for den rejse, jeg skal ikke gøre det.
187000	190000	Det er bare meget hårdt for en men.
192000	196000	Som mig, som vil grøne, og altid gøre min egen business.
197000	199000	Er du forstået?
199000	204000	Men hvad jeg siger, er, at jeg længe, at jeg sætter.
204000	210000	Og jeg ved, at det ikke er den måde.
210000	212000	Fordi du...
212000	218000	Jeg er ikke en professionellig træninger for denne area.
218000	220000	Vil det gå op? Vil det gå ned?
220000	224000	Fordi det er det eneste ting, som kan happene.
224000	230000	De folk, som arbejder med det, er meget professionellig.
230000	234000	Vi har tænkt resultatet så mange gange.
234000	237000	Jeg tror, at det går op nu.
237000	242000	Jeg kan se på markedet. Jeg føler, at jeg tror, og jeg tror, og jeg tror.
242000	245000	Men det går på den samme måde.
245000	248000	Jeg er ikke professionellig træninger for denne.
248000	250000	Jeg ved det.
250000	255000	Så hvis jeg vil make money, hvis jeg vil gøre det i en safe måde,
255000	260000	especially i denne situation nu.
260000	263000	Jeg skal followe træningernesignaler.
263000	266000	Håb de to træninger i dag.
266000	270000	Håb denne computer.
270000	272000	Det er det.
280000	286000	Er du forstået, hvad jeg siger?
286000	300000	Ja, jeg forstår. Hvad føler du nu?
300000	305000	Jeg er forstået med dig, Clownie, om hvad jeg tror, hvad jeg ser,
305000	308000	og hvad jeg lærer, hvad jeg ved.
308000	313000	Jeg ved også, at jeg ikke er professionellig.
313000	318000	Men mange gange, når jeg ser, så har jeg det.
318000	322000	Jeg sætter og tænker, hvad der vil ske.
322000	325000	Okay, jeg tror også, at det går op.
325000	332000	Mange gange, jeg er rigtig.
332000	334000	Men også mange gange, jeg er rigtig.
334000	336000	De er professionellig mere professionellig.
336000	338000	Det er så, det er.
338000	344000	Og jeg skal ikke sætte risiko.
348000	350000	Jeg skal starte.
353000	355000	Det var vildt.
355000	357000	God aftale.
358000	361000	Ja.
361000	369000	Ja, men jo, vi bliver nu til, at jeg skal lige have et par emner, vi skal have snakket om.
369000	375000	Jeg er nu til at lægge oppen på gode øjre ekonomisk udfordringer.
375000	378000	Yes.
378000	384000	Er vi lenne siden, så er det alvorligt, alvorligt, alvorligt.
384000	389000	Men jeg er givet undre, og det er jo overfor folk.
389000	394000	Det er mindst det.
394000	402000	Men det er jeg lige tænker, der er to ting.
402000	409000	Vi tager nogle penge, og sige, at jeg skal have løn over det firme, som en penge giver.
409000	412000	Det skal vi have stoppet, skæmme det ind.
422000	427000	Hvis man har sådan noget ekonomi til at putte en masse penge i en revise, det er jeg nu ikke til at sige til.
427000	438000	Ja, men det er sådan siden ret simpelthen.
438000	446000	Fordi jeg tænker selvfølgelig, at det er sådan lige en kort og langsætte løsning, og der er kort sættet.
446000	449000	Sådan dag er jeg i december.
449000	453000	Derfor har jeg udbetalt noget af af min mor på 67.000.
454000	458000	Så får jeg i hvert fald noget luft, og så kan du også få din penge.
458000	463000	Bare hårdere, virkelig inden godt, det kan jeg lige skålte være alligevel.
471000	475000	Og omkring 18-20 stykker.
476000	478000	Men det er altså helt andet.
486000	491000	Så har jeg var rolig af lidt i sin, men den har jeg så sættet.
491000	493000	Det er sådan nogen.
506000	521000	Jeg vil lige sige sådan, at muligheden forligger, jo stadig er det ikke for, at der kan komme nogle mere balanser i det her marker.
521000	530000	Men så er jeg tænkt, at det skal holdes i liv på et spændt bajnevur.
531000	539000	Og så skal jeg lave lige så stille, at man kan supplere, at man har en malervæs, der jeg laver lidt for, når jeg har taget.
539000	541000	Men der er jeg lavet sig sammen nu.
544000	548000	Og så er det altså en slik luft, at man skal lave det end det.
549000	559000	Men en situation hvor jeg har rullet jo her, at jeg tager nogle penge uger af selskab, som ingen tjener skubben over i privat.
559000	567000	Og så bliver jeg nødt til at skubbe penge over i firma for at de kan betale det, og så bliver jeg jo syvdopplet beskattet.
567000	569000	Og nogle penge anden tjener.
570000	575000	Og så er det så altså normalt, at vi så plejer at få omkring 30.000 tilbage i skat.
578000	580000	Men kan vi gøre noget med det?
580000	587000	Fordi så har jeg også nogle penge, der står der nu, som, hvad kan man sige?
587000	590000	Kan man ikke lide at få balans i tingene?
596000	602000	Nej, men der var lige, der var lige kig på.
604000	606000	Ja ja, ja ja.
608000	610000	Ja습
631000	634000	Ja, ja, ja, ja.
638000	658000	Nej, altså. Nej, altså. Jeg har hørt lidt af denne bangeblåde på 680.000 af at tage alle andre på. Så det er lige der, at den sagde så godt, at den kroner rundt om nøglen.
659000	662000	Nej, nej, nej. Nej, nej. Det er han.
663000	664000	Det er han.
668000	669000	Jo, jo, jo.
